id,price,square_feet,bedrooms,bathrooms,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated
1,686689.2573784853,1360,2,1,1,0,2,1,10,1197.3605050455901,162.63949495440988,1980,2002
2,1273455.6157506534,4272,3,3,2,0,0,4,3,3070.138636481099,1201.8613635189008,2022,0
3,1156925.8337166822,3592,3,1,2,0,0,5,8,3335.5674520391344,256.4325479608656,2002,0
4,782806.6158393772,966,2,3,1,0,1,1,9,681.185390650309,284.81460934969095,1957,0
5,1044427.84532815,4926,5,2,2,0,0,1,7,4633.334189329239,292.66581067076095,1973,0
6,1132504.935235752,3944,4,3,2,0,0,1,7,3216.6826225215773,727.3173774784227,1957,0
7,1135213.2341610638,3671,3,3,2,0,2,1,9,2948.42784110925,722.57215889075,1997,0
8,892097.3103091355,3419,5,1,1,0,1,2,5,2612.49552392666,806.5044760733399,1979,0
9,755226.8552827939,630,2,2,2,0,4,2,8,442.58620373608454,187.41379626391546,2007,0
10,805017.306261062,2185,5,2,2,0,0,3,9,1679.6041819404081,505.3958180595919,2004,0
11,556429.3616984368,1269,1,2,2,0,0,1,3,923.0071263522909,345.9928736477091,2022,2021
12,897600.8414487935,2891,3,2,1,0,1,3,4,2500.585514056651,390.41448594334906,2011,2010
13,1165351.5453648157,2933,2,3,2,0,1,4,6,2287.0617234541724,645.9382765458276,1997,0
14,871675.1164061638,1684,4,2,1,0,0,3,10,1501.7824972579415,182.2175027420585,1953,0
15,1362873.8301699776,3885,2,3,2,0,2,5,12,2920.467346959916,964.5326530400839,1986,0
16,1502344.8057864932,4617,4,3,1,0,0,2,8,4270.996084191012,346.0039158089876,1957,2001
17,885114.4748611634,3404,2,3,2,0,0,2,3,2827.857269355063,576.1427306449368,1950,0
18,906262.1932285848,974,5,2,2,0,0,1,12,709.6822588401969,264.31774115980306,2019,0
19,742890.3417949796,1582,5,1,1,0,0,1,7,1265.934290700951,316.0657092990491,1996,0
20,1204464.5731198753,3058,5,1,1,0,0,4,9,2298.668420651333,759.3315793486672,1954,0
21,918715.4748207881,2547,1,2,1,0,1,4,8,1910.0496951125879,636.9503048874121,1999,0
22,1199788.6011516282,3247,4,1,2,0,1,5,11,2683.9456345391804,563.0543654608196,1973,0
23,1061617.5354839782,1475,5,1,2,0,3,1,10,1280.2601807659123,194.7398192340877,1996,0
24,658794.232449256,2306,1,3,2,0,0,1,6,2139.747895472726,166.2521045272738,1967,0
25,829695.6848151248,689,4,3,2,0,0,4,7,568.7974063540393,120.20259364596075,1977,2019
26,1189146.783435707,3234,2,2,1,1,0,4,9,3044.68064963466,189.31935036534014,1954,0
27,1222448.727339965,3505,1,2,2,0,0,4,10,3278.6075391292893,226.3924608707107,1979,0
28,964951.2071713867,2399,3,1,2,0,1,2,7,2198.12125235812,200.87874764188018,1950,0
29,911904.6146280412,1767,1,3,2,0,1,3,11,1457.7649567971482,309.2350432028518,1995,0
30,1287461.560954351,2028,1,2,2,0,2,3,12,1491.0382994498075,536.9617005501925,2018,0
31,1238523.4054665181,3702,4,2,2,0,0,1,6,2793.0705868141386,908.9294131858614,1980,0
32,1111049.571544744,4056,2,2,2,0,0,2,6,3495.937382749943,560.062617250057,2019,0
33,1782720.9805748325,4390,3,2,2,1,0,4,10,3535.876090861905,854.1239091380949,2005,0
34,419036.3335571502,1146,5,2,1,0,0,1,3,844.25866749752,301.74133250247996,1977,0
35,1395254.1729106954,3388,5,2,2,0,1,2,10,2777.3078617924957,610.6921382075043,1965,0
36,1048891.0288223275,2935,1,1,2,0,4,5,7,2067.2896627621258,867.7103372378742,2003,2017
