客户ID,年龄,性别,城市,职业,资产总额(AUM),存款,理财,基金,保险,信托,月均交易次数,月均交易金额,客户等级,持有产品数,持有产品,近12月资产,是否高价值客户
C10000,52,女,成都,高管,3710660.62,260968.03,964225.71,557633.45,394112.55,15276.41,4,132383.87,金卡客户,5,存款|理财产品|基金|保险|信托,"2631061.16,2671639.59,2707223.13,2921950.89,2898020.22,2979864.35,2969397.78,3085158.19,3190678.97,3197077.97,3351670.48,3376433.64",0
C10001,40,女,深圳,企业主,3442112.21,483868.02,684142.81,268236.13,268519.87,376367.63,7,123501.69,金卡客户,5,存款|理财产品|基金|保险|信托,"3268884.97,3295364.92,3079642.51,3341328.91,3481913.13,3933470.22,3838406.02,3402725.49,3999468.75,3910849.54,3926661.14,4332781.61",0
C10002,60,女,北京,专业人士,4849531.17,439145.27,1255694.09,755675.92,240705.04,61645.64,2,543850.02,金卡客户,5,存款|理财产品|基金|保险|信托,"2903988.57,3532917.11,3399773.95,4102473.77,3352112.77,3561592.97,3737677.53,3580046.55,4184744.29,4276166.44,4222984.3,4239273.35",0
C10003,22,女,上海,企业主,1740168.61,579201.43,330668.8,379122.09,209778.74,64932.67,4,234850.13,金卡客户,5,存款|理财产品|基金|保险|信托,"1307289.34,1240303.25,1147313.06,1230691.95,1191358.88,1180043.84,1189790.51,1155012.12,1153256.7,1065679.11,1087207.04,1150546.17",0
C10004,44,男,上海,企业主,771552.85,174322.84,11915.57,53747.62,105116.27,0.0,4,60584.94,银卡客户,4,存款|理财产品|基金|保险,"680044.81,755337.09,633631.29,715936.82,781860.08,644160.66,659906.39,685947.01,657983.94,611129.52,677764.45,627364.05",0
C10005,52,女,广州,自由职业,1585315.86,142227.77,439779.44,347715.0,61337.84,209256.64,3,197230.9,金卡客户,5,存款|理财产品|基金|保险|信托,"903987.59,1141318.74,1194429.93,1081614.74,1240193.81,1335553.62,1315782.41,1417213.38,1425581.69,1383378.24,1613628.59,1699730.7",0
C10006,56,男,广州,白领,815789.74,226276.84,207836.32,134118.46,69543.05,0.0,5,38446.81,银卡客户,4,存款|理财产品|基金|保险,"741946.17,939530.99,823570.68,766509.01,857071.43,830268.22,950940.14,924809.35,937935.23,961457.47,1029149.11,992004.84",0
C10007,56,男,重庆,专业人士,3315838.66,1252240.3,692376.75,472557.72,48333.24,407852.95,2,492758.62,金卡客户,6,存款|理财产品|基金|保险|信托|贵金属,"2729726.46,2892647.35,3236186.3,3326532.15,3419927.09,4102765.9,3624218.9,3824980.36,3897425.18,3951587.16,3892057.31,4194631.67",0
C10008,33,女,北京,公务员,1562316.27,374839.7,134300.42,230767.1,7147.66,11669.94,4,43414.38,金卡客户,5,存款|理财产品|基金|保险|信托,"1346323.47,1351203.58,1323000.2,1296240.05,1268745.57,1236461.68,1226836.22,1220688.01,1173543.4,1160249.81,1121739.71,1121794.43",0
C10009,69,男,上海,专业人士,13195699.47,3708903.13,1108177.07,3150028.82,1460559.89,1463017.9,11,1262048.63,钻石客户,7,存款|理财产品|基金|保险|信托|外汇|国债,"12013411.36,11858526.05,11268932.48,11238470.18,10337502.92,10606731.47,10567799.06,10151081.55,10575309.25,9719623.87,9743024.55,9679468.58",1
C10010,66,男,重庆,白领,283175.43,30307.43,5995.0,45479.34,1126.1,0.0,14,25646.17,普通客户,4,存款|理财产品|基金|保险,"232789.19,244754.08,248125.06,263316.72,273041.48,284942.18,310599.42,320296.0,325850.0,354743.11,365590.81,386588.8",0
C10011,54,男,上海,白领,298283.43,95971.06,30496.81,69407.37,38407.54,0.0,2,20897.49,普通客户,5,存款|理财产品|基金|保险|国债,"299920.84,285027.17,301839.99,297545.24,306574.63,320946.32,298210.09,359649.47,304286.31,305214.21,356409.35,354412.86",0
C10012,54,男,深圳,企业主,12590284.49,2575162.34,3352934.46,1104529.96,221086.06,360061.19,13,304145.7,钻石客户,7,存款|理财产品|基金|保险|信托|贵金属|国债,"11942345.91,11771613.92,12133411.8,12624632.8,13092820.37,13575614.32,14187255.81,14483557.36,14718529.23,15178523.61,15444944.32,16085596.18",1
C10013,40,男,北京,企业主,24894255.42,9628111.98,2799637.19,1778147.41,3243469.28,1113250.38,15,3605961.66,钻石客户,7,存款|理财产品|基金|保险|信托|贵金属|国债,"23995201.35,22750232.4,24670171.8,25983634.97,28212201.38,27712392.59,30411244.91,25328488.29,28886188.17,28043216.8,32310790.02,27112185.78",1
C10014,32,男,广州,退休,996102.78,76906.23,291179.21,245591.82,104316.12,0.0,1,123448.32,银卡客户,5,存款|理财产品|基金|保险|外汇,"945788.81,894130.18,1116475.57,1126900.48,1083442.51,1065044.05,1291597.42,1265478.35,1400694.34,1303215.23,1423952.67,1525732.65",0
C10015,45,女,苏州,白领,1650769.95,157162.87,472475.63,250163.72,56615.5,221764.66,1,159361.95,金卡客户,6,存款|理财产品|基金|保险|信托|外汇,"1344549.01,1450867.32,1490012.7,1485324.43,1462108.47,1560578.48,1723156.38,1740867.63,1717115.54,1782174.3,1757629.5,2017738.88",0
C10016,58,男,杭州,白领,2183863.04,412291.45,407565.65,470821.06,311043.45,64237.67,7,100794.48,金卡客户,5,存款|理财产品|基金|保险|信托,"1631606.64,1652078.32,1635949.14,1694990.48,1713422.14,1798908.39,1886348.15,1848136.73,1957950.07,1960778.94,1997805.62,2076628.9",0
C10017,29,男,广州,退休,1403552.43,462882.66,264387.34,28688.27,183917.01,258498.54,7,26037.18,金卡客户,5,存款|理财产品|基金|保险|信托,"1026405.4,930110.73,914350.57,856145.39,954598.34,887144.3,916768.0,943816.49,872990.3,903888.51,948152.69,808091.41",0
C10018,32,男,北京,专业人士,690676.37,85648.57,67858.4,20679.22,92259.92,0.0,39,83215.43,银卡客户,5,存款|理财产品|基金|保险|外汇,"596974.38,586088.25,598738.8,666364.27,624040.17,631092.16,719026.43,720280.39,745749.95,758320.71,785843.95,806218.94",0
C10019,35,男,上海,专业人士,2264817.46,438556.74,667472.47,63436.92,135160.55,439134.71,3,297078.37,金卡客户,6,存款|理财产品|基金|保险|信托|国债,"1804011.03,2105430.77,2081904.8,2297234.46,2269929.02,2275292.99,2402696.31,2679228.54,2820098.91,2834038.56,3114100.78,3030337.63",0
C10020,44,男,北京,专业人士,556664.45,54021.58,10583.58,137768.92,26916.44,0.0,4,58678.21,银卡客户,4,存款|理财产品|基金|保险,"449996.25,439443.88,410172.69,434139.42,428304.5,472512.6,445248.99,449839.56,427830.02,427359.53,431076.81,459471.68",0
C10021,38,女,杭州,专业人士,1608620.5,540190.53,211920.42,151590.13,111641.43,96960.53,19,184452.97,金卡客户,5,存款|理财产品|基金|保险|信托,"1133403.48,1259613.71,1271046.78,1329670.77,1224206.14,1289950.33,1394878.79,1484942.03,1484682.84,1431228.71,1406225.54,1511742.09",0
C10022,28,女,北京,退休,595082.14,188558.05,156524.27,50891.68,73307.33,0.0,5,72374.69,银卡客户,5,存款|理财产品|基金|保险|贵金属,"498144.79,491065.43,563761.4,536113.08,567151.49,602814.89,638265.4,600062.54,571293.88,664846.28,757490.31,686192.37",0
C10023,45,女,苏州,退休,4280549.29,1273606.91,195885.27,616707.68,389561.05,363102.45,9,484139.51,金卡客户,5,存款|理财产品|基金|保险|信托,"2772796.11,3105105.54,2717916.88,3478278.77,3313947.39,3426556.63,3487122.69,3545168.89,4204436.84,4260207.4,4209228.21,4426235.3",0
C10024,39,男,深圳,企业主,29456514.72,6610887.91,3702025.1,6737042.94,1601229.18,3420421.86,2,4257934.62,钻石客户,8,存款|理财产品|基金|保险|信托|贵金属|外汇|国债,"30205187.76,29886677.87,30281394.42,31078653.9,31024419.29,30845202.68,31366585.59,32636107.57,32355034.42,32600276.85,34356274.29,34324990.45",1
C10025,67,男,深圳,公务员,386088.7,43888.57,99817.71,91321.12,21619.58,0.0,9,18495.29,银卡客户,5,存款|理财产品|基金|保险|国债,"266128.28,247264.51,263877.79,286606.44,270458.38,306911.06,302161.46,309435.2,334503.16,340441.95,338944.31,371132.46",0
C10026,28,男,重庆,企业主,5408556.82,663955.46,43050.28,245325.96,473012.01,455859.73,2,341587.88,白金客户,5,存款|理财产品|基金|保险|信托,"3994199.35,4243205.9,4270134.62,4275007.61,4514461.68,4524256.52,4799735.79,4720185.0,4813867.81,4817105.99,4959389.56,5113092.43",1
C10027,19,女,上海,企业主,645007.19,36402.1,176918.79,18987.57,55778.59,0.0,8,31197.53,银卡客户,4,存款|理财产品|基金|保险,"454232.54,445334.79,414838.09,419747.19,405997.54,406480.7,395151.09,363878.76,373917.95,371381.8,350195.18,360598.08",0
C10028,22,男,南京,专业人士,608486.25,151051.61,86901.04,100958.69,85507.2,0.0,3,8741.29,银卡客户,5,存款|理财产品|基金|保险|国债,"497269.05,490772.09,511235.64,521267.05,524203.76,573222.98,552191.85,539719.62,570809.61,597989.72,611369.92,598201.59",0
